songs,artists,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Lil' Homies,2Pac,spotify:track:6tDxrq4FxEL2q15y37tXT9,0.773,0.54,6,-7.123,1,0.103,0.371,0,0.131,0.322,84.115,audio_features,6tDxrq4FxEL2q15y37tXT9,spotify:track:6tDxrq4FxEL2q15y37tXT9,https://api.spotify.com/v1/tracks/6tDxrq4FxEL2q15y37tXT9,https://api.spotify.com/v1/audio-analysis/6tDxrq4FxEL2q15y37tXT9,280000,4
Keep Ya Head Up,2Pac,spotify:track:6tDxrq4FxEL2q15y37tXT9,0.773,0.54,6,-7.123,1,0.103,0.371,0,0.131,0.322,84.115,audio_features,6tDxrq4FxEL2q15y37tXT9,spotify:track:6tDxrq4FxEL2q15y37tXT9,https://api.spotify.com/v1/tracks/6tDxrq4FxEL2q15y37tXT9,https://api.spotify.com/v1/audio-analysis/6tDxrq4FxEL2q15y37tXT9,280000,4
Life Goes On,2Pac,spotify:track:6tDxrq4FxEL2q15y37tXT9,0.773,0.54,6,-7.123,1,0.103,0.371,0,0.131,0.322,84.115,audio_features,6tDxrq4FxEL2q15y37tXT9,spotify:track:6tDxrq4FxEL2q15y37tXT9,https://api.spotify.com/v1/tracks/6tDxrq4FxEL2q15y37tXT9,https://api.spotify.com/v1/audio-analysis/6tDxrq4FxEL2q15y37tXT9,280000,4
Skandalouz (ft. Nate Dogg),2Pac,spotify:track:6tDxrq4FxEL2q15y37tXT9,0.773,0.54,6,-7.123,1,0.103,0.371,0,0.131,0.322,84.115,audio_features,6tDxrq4FxEL2q15y37tXT9,spotify:track:6tDxrq4FxEL2q15y37tXT9,https://api.spotify.com/v1/tracks/6tDxrq4FxEL2q15y37tXT9,https://api.spotify.com/v1/audio-analysis/6tDxrq4FxEL2q15y37tXT9,280000,4
Ratha Be Ya Nigga (ft. Richie Rich),2Pac,spotify:track:6tDxrq4FxEL2q15y37tXT9,0.773,0.54,6,-7.123,1,0.103,0.371,0,0.131,0.322,84.115,audio_features,6tDxrq4FxEL2q15y37tXT9,spotify:track:6tDxrq4FxEL2q15y37tXT9,https://api.spotify.com/v1/tracks/6tDxrq4FxEL2q15y37tXT9,https://api.spotify.com/v1/audio-analysis/6tDxrq4FxEL2q15y37tXT9,280000,4
Everything Is Everything,Ms. Lauryn Hill,spotify:track:6tDxrq4FxEL2q15y37tXT9,0.773,0.54,6,-7.123,1,0.103,0.371,0,0.131,0.322,84.115,audio_features,6tDxrq4FxEL2q15y37tXT9,spotify:track:6tDxrq4FxEL2q15y37tXT9,https://api.spotify.com/v1/tracks/6tDxrq4FxEL2q15y37tXT9,https://api.spotify.com/v1/audio-analysis/6tDxrq4FxEL2q15y37tXT9,280000,4
Lost Ones,Ms. Lauryn Hill,spotify:track:6tDxrq4FxEL2q15y37tXT9,0.773,0.54,6,-7.123,1,0.103,0.371,0,0.131,0.322,84.115,audio_features,6tDxrq4FxEL2q15y37tXT9,spotify:track:6tDxrq4FxEL2q15y37tXT9,https://api.spotify.com/v1/tracks/6tDxrq4FxEL2q15y37tXT9,https://api.spotify.com/v1/audio-analysis/6tDxrq4FxEL2q15y37tXT9,280000,4
Distant Land,Madlib,spotify:track:6tDxrq4FxEL2q15y37tXT9,0.773,0.54,6,-7.123,1,0.103,0.371,0,0.131,0.322,84.115,audio_features,6tDxrq4FxEL2q15y37tXT9,spotify:track:6tDxrq4FxEL2q15y37tXT9,https://api.spotify.com/v1/tracks/6tDxrq4FxEL2q15y37tXT9,https://api.spotify.com/v1/audio-analysis/6tDxrq4FxEL2q15y37tXT9,280000,4
Harold’s,Freddie Gibbs,spotify:track:6tDxrq4FxEL2q15y37tXT9,0.773,0.54,6,-7.123,1,0.103,0.371,0,0.131,0.322,84.115,audio_features,6tDxrq4FxEL2q15y37tXT9,spotify:track:6tDxrq4FxEL2q15y37tXT9,https://api.spotify.com/v1/tracks/6tDxrq4FxEL2q15y37tXT9,https://api.spotify.com/v1/audio-analysis/6tDxrq4FxEL2q15y37tXT9,280000,4
One Time,Ky-Mani Marley,spotify:track:6tDxrq4FxEL2q15y37tXT9,0.773,0.54,6,-7.123,1,0.103,0.371,0,0.131,0.322,84.115,audio_features,6tDxrq4FxEL2q15y37tXT9,spotify:track:6tDxrq4FxEL2q15y37tXT9,https://api.spotify.com/v1/tracks/6tDxrq4FxEL2q15y37tXT9,https://api.spotify.com/v1/audio-analysis/6tDxrq4FxEL2q15y37tXT9,280000,4
